ep	i	j	time	x	y	z	phi	theta	psi	x_velocity	y_velocity	z_velocity	phi_velocity	theta_velocity	psi_velocity	rotor_speed1	rotor_speed2	rotor_speed3	rotor_speed4	r
20	2	72	4.379999999999995	3.73384596498	13.3798829356	65.2667267284	3.03046762907	5.40749998407	0.0	-0.65955139381	13.9400086389	-37.7182853626	-1.31573189279	-5.81795213681	0.0	448.371	414.751	420.218	417.088	nan
20	2	73	4.439999999999993	3.65019468509	14.2222698367	62.9675468168	2.95177285738	5.06009890441	0.0	-1.97286702601	14.1794501337	-39.2102345291	-1.30442897273	-5.76217064194	0.0	448.112	414.958	419.948	418.96	nan
20	2	74	4.499999999999992	3.52368300382	15.0880301481	60.5324536445	2.87592271088	4.71606832381	0.0	-2.05857449337	14.7234231673	-42.0725211901	-1.23016461005	-5.70578480969	0.0	446.747	414.325	417.326	421.903	nan
20	2	75	4.559999999999991	3.42162928771	15.9937367492	57.9134702117	2.80918688285	4.37548909033	0.0	-1.29620238324	15.487719495	-45.212586105	-1.0758933672	-5.64761327611	0.0	445.373	413.648	414.153	425.917	nan
20	2	76	4.6199999999999894	3.35938197583	16.9497010219	55.108303331	2.75896530225	4.0384836467	0.0	-0.94722407419	16.4140191315	-48.3273837856	-0.836864000963	-5.58738916216	0.0	443.464	412.558	410.907	430.448	nan
20	2	77	4.679999999999988	3.27355883446	17.9747251061	52.0938282491	2.73789605593	3.70558942529	0.0	-2.18779307743	17.8876400779	-52.4386713981	-0.474647856258	-5.51550492594	0.0	440.707	411.48	406.587	437.251	nan
20	2	78	4.739999999999987	3.06676178151	19.1240542379	48.7508342212	2.76934661864	3.37728416518	0.0	-4.7857590622	20.6545701812	-59.6266789965	0.0678979646471	-5.43756544221	0.0	437.619	409.683	399.845	446.419	nan
20	2	79	4.799999999999986	2.72335155414	20.4815482704	44.8300228733	2.89765901627	3.05296025392	0.0	-6.18492182521	24.653786845	-71.9111603051	0.873249451162	-5.37538658565	0.0	436.571	408.101	390.02	459.276	nan
20	2	80	4.859999999999984	2.43959024397	22.0580772277	40.0257597613	3.18822480347	2.73156541591	0.0	-2.21570515202	27.3949732064	-88.5039197278	2.00969938162	-5.33435814832	0.0	437.367	407.772	377.66	476.481	nan
20	2	81	4.919999999999983	2.58401332129	23.7192168609	34.274742384	3.68580318607	2.41165533733	0.0	7.2723018709	28.1656171417	-102.048221831	3.45378394619	-5.32741531235	0.0	433.426	400.835	365.956	495.323	nan
20	2	82	4.979999999999982	3.21413354766	25.5739640426	27.8439985901	4.33586778352	2.09140633288	0.0	12.3227210368	34.6027732004	-113.329492669	5.02287245049	-5.37487771699	0.0	430.607	392.616	359.397	509.065	nan
20	2	83	5.0399999999999805	3.95281934937	27.8088817061	20.463908854	5.03636751792	1.76987139427	0.0	12.3967876077	38.7270446028	-133.317122052	6.50841767012	-5.53432493712	0.0	435.178	386.105	356.337	514.937	nan
20	2	84	5.099999999999979	4.72334714123	30.289690206	11.8539385752	5.81677795631	1.44779332336	0.0	12.9665971398	46.1927429179	-154.487842377	7.97463840593	-5.84858331962	0.0	439.924	373.694	345.994	524.047	nan
20	2	85	5.159999999999978	5.4632378383	33.3117841391	1.59099690066	0.391419389415	1.11553501867	0.0	12.3195114534	49.0149235024	-188.594361238	9.41864951462	-6.2506061562	0.0	446.254	367.32	337.9	538.138	nan
20	2	86	5.219999999999977	6.37042633126	35.3225264668	0.0	1.50089515564	0.761254176016	0.0	17.5322328223	19.2062630445	-177.628060864	11.1583888513	-6.67074526258	0.0	448.185	361.109	310.466	566.96	nan
20	3	0	0.06	-0.000658484885134	0.000284241668066	150.002118408	0.0664334032532	0.162106161205	0.0	-0.0388600015436	0.0166206026415	0.0694564786571	-0.694279815443	-1.0481738726	0.0	468.787	378.44	458.15	399.056	30.9984831586
20	3	1	0.12000000000000001	-0.00660427318725	0.00270335918302	150.008088518	0.0896814895285	0.255608136023	0.0	-0.169534232419	0.0668103028347	0.127273691489	-1.38154354588	-2.07918964296	0.0	469.788	379.003	458.436	399.058	30.9956515277
20	3	2	0.18	-0.0219570199132	0.00839811792144	150.017200762	0.0675981130128	0.275834890553	0.0	-0.34544089632	0.121587996519	0.175684409612	-2.04912982206	-3.07454313679	0.0	471.206	379.212	458.696	399.061	30.9929517035
20	3	3	0.23999999999999996	-0.0479958171944	0.0167933596608	150.029270933	6.28278444926	0.218940058751	0.0	-0.518456049479	0.152584786778	0.227991340442	-2.68724643821	-4.01250426303	0.0	472.765	379.392	459.024	399.029	30.9904322768
20	3	4	0.3	-0.0830124172014	0.0255186520153	150.044990886	6.15764617667	0.0712194152779	0.0	-0.635578563145	0.12659548261	0.297861239565	-3.21751252537	-4.82326305027	0.0	472.145	382.015	458.922	404.959	30.9881625134
20	3	5	0.36000000000000004	-0.121831860003	0.0300425496365	150.064974585	5.99373887363	6.1324242277	0.0	-0.637534206432	0.00885579768489	0.365551866875	-3.70118472826	-5.52356042723	0.0	470.991	381.913	458.402	404.699	30.9862694694
20	3	6	0.4200000000000001	-0.156081998755	0.0242994499046	150.087952731	5.79630392241	5.84694521111	0.0	-0.477403764026	-0.21533580273	0.387830897417	-4.1517109809	-6.1136951523	0.0	472.263	384.869	459.608	404.937	30.9850196345
20	3	7	0.48000000000000015	-0.175200431722	0.00256166535625	150.108807204	5.57239320767	5.5112888753	0.0	-0.132061566454	-0.515892515354	0.283297768275	-4.60663295071	-6.61226035507	0.0	472.345	385.151	459.708	400.19	30.9852019901
20	3	8	0.5400000000000001	-0.168220139479	-0.0375195933526	150.117912221	5.31428506271	5.13608254924	0.0	0.38753445521	-0.810751274751	-0.0108760302287	-5.00503418547	-7.03890115913	0.0	472.865	384.785	459.788	400.637	30.98406007
20	3	9	0.6000000000000002	-0.126182668197	-0.0919519854959	150.103268178	5.02642859177	4.72759094167	0.0	1.02482276163	-0.974261244108	-0.50277829881	-5.34677397442	-7.39582767772	0.0	473.041	384.522	459.803	401.276	30.9828278767
20	3	10	0.6600000000000003	-0.0447975602057	-0.14918427223	150.055232608	4.71343571972	4.29226007652	0.0	1.68247095867	-0.891931506442	-1.10352385392	-5.63367723373	-7.69134198581	0.0	473.13	384.23	459.639	401.937	30.9857846989
20	3	11	0.7200000000000003	0.0736557681648	-0.193235962351	149.972007143	4.37976367074	3.83553483327	0.0	2.2427129353	-0.541259115252	-1.6495431343	-5.86853516675	-7.93389136404	0.0	473.168	383.933	459.348	402.683	30.9891679726
20	3	12	0.7800000000000004	0.219846871914	-0.210736828108	149.861660734	4.02985850454	3.36195060547	0.0	2.59118420489	-0.0327639249761	-1.99206048888	-6.061255183	-8.13294539476	0.0	473.401	383.774	459.232	403.236	30.9858318974
20	3	13	0.8400000000000004	0.37823204207	-0.198246251675	149.737810242	3.66712270373	2.87502597586	0.0	2.64014726408	0.42529945827	-2.11051969922	-6.22080781713	-8.29693491988	0.0	473.693	383.582	459.271	403.597	30.9836662883
20	3	14	0.9000000000000005	0.529948676239	-0.164527134332	149.609840703	3.29410301952	2.37751712459	0.0	2.37368950116	0.660271398439	-2.16275028264	-6.35533330595	-8.43587975788	0.0	474.22	383.312	459.456	403.778	30.9818850558
20	3	15	0.9600000000000005	0.657829602281	-0.123700004332	149.474916964	2.91261718644	1.87131400839	0.0	1.85976834174	0.678065001284	-2.37159997524	-6.47117186484	-8.55918269759	0.0	475.024	382.931	459.702	403.785	30.978632265
20	3	16	1.0200000000000005	0.750207571553	-0.0840630151269	149.319006169	2.52393609027	1.35755553928	0.0	1.20977096486	0.655105618484	-2.87171235014	-6.57083588057	-8.67412407007	0.0	476.132	382.521	459.867	403.736	30.9716200276
